"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 03, 2020","15,596.75","15,613.21","15,625.09","15,561.60","61.23M","-0.16%"
"Jul 02, 2020","15,622.40","15,694.11","15,828.64","15,613.14","212.04M","0.69%"
"Jun 30, 2020","15,515.22","15,342.59","15,564.85","15,319.44","255.56M","0.82%"
"Jun 29, 2020","15,389.72","15,250.45","15,425.00","15,182.82","216.26M","1.32%"
"Jun 26, 2020","15,188.98","15,400.77","15,405.93","15,167.59","256.56M","-1.66%"
"Jun 25, 2020","15,446.14","15,222.64","15,450.98","15,178.35","195.78M","0.99%"
"Jun 24, 2020","15,294.38","15,489.29","15,489.29","15,144.42","237.45M","-1.74%"
"Jun 23, 2020","15,564.75","15,673.83","15,679.44","15,527.24","219.10M","0.31%"
"Jun 22, 2020","15,516.90","15,484.34","15,537.69","15,427.33","240.80M","0.28%"
"Jun 19, 2020","15,474.20","15,638.07","15,638.07","15,436.93","944.00M","-0.04%"
"Jun 18, 2020","15,479.83","15,367.34","15,523.46","15,341.46","223.09M","0.33%"
"Jun 17, 2020","15,428.69","15,571.48","15,571.48","15,413.83","232.46M","-0.56%"
"Jun 16, 2020","15,515.83","15,694.26","15,701.84","15,450.72","288.84M","1.02%"
"Jun 15, 2020","15,359.66","15,044.49","15,442.89","14,934.71","294.43M","0.68%"
"Jun 12, 2020","15,256.57","15,394.90","15,424.13","15,117.27","340.42M","1.37%"
"Jun 11, 2020","15,050.92","15,374.47","15,401.29","15,015.51","374.43M","-4.14%"
"Jun 10, 2020","15,701.33","15,863.59","15,863.59","15,610.68","361.96M","-0.84%"
"Jun 09, 2020","15,833.74","15,880.97","15,907.94","15,772.17","360.73M","-0.88%"
"Jun 08, 2020","15,974.91","15,963.53","15,980.07","15,847.87","443.02M","0.76%"
"Jun 05, 2020","15,854.07","15,780.86","15,883.03","15,773.99","378.22M","2.10%"
"Jun 04, 2020","15,527.87","15,577.25","15,637.38","15,502.41","300.08M","-0.29%"
"Jun 03, 2020","15,572.63","15,517.09","15,629.08","15,504.24","-","1.15%"
"Jun 02, 2020","15,396.33","15,301.18","15,398.62","15,276.54","-","1.05%"
"Jun 01, 2020","15,236.21","15,177.61","15,271.10","15,163.09","246.51M","0.29%"
"May 29, 2020","15,192.83","15,241.76","15,244.36","15,092.89","793.56M","-0.46%"
"May 28, 2020","15,262.73","15,325.73","15,342.43","15,226.86","333.99M","-0.06%"
"May 27, 2020","15,272.03","15,176.45","15,272.03","14,940.32","349.33M","0.82%"
"May 26, 2020","15,148.12","15,162.06","15,185.07","15,095.02","299.84M","0.48%"
"May 25, 2020","15,075.42","15,004.19","15,089.58","14,983.01","127.87M","1.08%"
"May 22, 2020","14,913.64","14,929.34","14,933.22","14,834.82","252.74M","0.19%"
"May 21, 2020","14,884.85","14,993.53","14,999.50","14,783.88","288.95M","-0.75%"
"May 20, 2020","14,997.63","15,048.23","15,054.78","14,972.24","300.48M","0.75%"
"May 19, 2020","14,885.48","14,911.42","14,951.24","14,823.00","378.89M","1.68%"
"May 15, 2020","14,638.90","14,504.34","14,657.63","14,447.88","286.95M","0.89%"
"May 14, 2020","14,509.66","14,346.24","14,553.05","14,187.47","307.62M","0.04%"
"May 13, 2020","14,503.21","14,898.12","14,898.12","14,419.88","311.64M","-2.54%"
"May 12, 2020","14,881.16","15,161.47","15,184.87","14,881.16","306.66M","-1.47%"
"May 11, 2020","15,103.22","14,901.90","15,118.83","14,852.79","252.70M","0.91%"
"May 08, 2020","14,966.56","14,958.17","14,985.59","14,898.45","312.19M","0.90%"
"May 07, 2020","14,833.69","14,963.22","15,016.03","14,815.78","314.63M","0.02%"
"May 06, 2020","14,830.74","14,855.44","14,909.62","14,744.27","302.69M","0.13%"
"May 05, 2020","14,811.56","14,899.39","14,943.71","14,764.08","297.58M","0.45%"
"May 04, 2020","14,745.04","14,554.20","14,745.04","14,518.07","295.09M","0.85%"
"May 01, 2020","14,620.34","14,562.98","14,661.19","14,520.20","287.32M","-1.09%"
"Apr 30, 2020","14,780.74","15,114.81","15,114.81","14,767.13","403.60M","-2.94%"
"Apr 29, 2020","15,228.11","15,003.00","15,257.93","15,002.14","371.32M","2.90%"
"Apr 28, 2020","14,798.29","14,767.64","14,855.98","14,658.66","297.71M","1.07%"
"Apr 27, 2020","14,642.11","14,491.98","14,649.60","14,404.64","284.52M","1.54%"
"Apr 24, 2020","14,420.36","14,337.58","14,433.65","14,242.75","323.78M","1.19%"
"Apr 23, 2020","14,251.09","14,329.37","14,422.42","14,238.69","311.06M","-0.26%"
"Apr 22, 2020","14,288.16","14,212.91","14,304.99","14,112.95","267.17M","2.50%"
"Apr 21, 2020","13,940.06","14,106.49","14,307.72","13,940.06","307.13M","-3.12%"
"Apr 20, 2020","14,388.28","14,132.77","14,509.80","14,075.77","334.71M","0.20%"
"Apr 17, 2020","14,359.88","14,079.28","14,365.78","14,079.28","374.05M","3.31%"
"Apr 16, 2020","13,899.32","14,024.79","14,056.92","13,874.68","288.40M","-0.42%"
"Apr 15, 2020","13,958.58","14,010.90","14,070.97","13,900.66","315.61M","-2.10%"
"Apr 14, 2020","14,258.43","14,239.06","14,440.91","14,110.70","335.90M","1.30%"
"Apr 13, 2020","14,075.94","14,195.12","14,197.58","13,889.25","326.41M","-0.64%"
"Apr 09, 2020","14,166.63","14,081.97","14,329.19","14,010.67","437.30M","1.73%"
"Apr 08, 2020","13,925.71","13,725.95","13,964.92","13,588.40","374.16M","2.29%"
"Apr 07, 2020","13,614.14","13,937.92","14,062.71","13,571.48","400.92M","0.16%"
"Apr 06, 2020","13,592.70","13,362.37","13,603.00","13,300.13","386.78M","5.06%"
"Apr 03, 2020","12,938.30","13,108.27","13,171.19","12,829.38","354.99M","-1.22%"
"Apr 02, 2020","13,097.84","12,946.62","13,248.61","12,920.99","446.04M","1.72%"
"Apr 01, 2020","12,876.37","12,966.82","13,138.05","12,813.98","373.01M","-3.76%"
"Mar 31, 2020","13,378.75","13,083.92","13,557.62","13,083.92","498.99M","2.61%"
"Mar 30, 2020","13,038.50","12,780.91","13,048.44","12,548.96","388.25M","2.76%"
"Mar 27, 2020","12,687.74","12,942.91","12,963.60","12,630.27","453.38M","-5.11%"
"Mar 26, 2020","13,371.17","13,154.10","13,592.34","13,138.34","471.05M","1.77%"
"Mar 25, 2020","13,139.23","12,588.14","13,690.39","12,496.27","553.13M","4.52%"
"Mar 24, 2020","12,571.08","11,909.65","12,588.28","11,823.86","489.33M","11.96%"
"Mar 23, 2020","11,228.49","11,802.77","11,870.56","11,172.73","473.24M","-5.26%"
"Mar 20, 2020","11,851.81","12,335.65","12,670.78","11,809.40","727.89M","-2.62%"
"Mar 19, 2020","12,170.52","11,657.34","12,294.41","11,361.34","531.59M","3.83%"
"Mar 18, 2020","11,721.42","12,197.74","12,500.03","11,384.06","589.44M","-7.60%"
"Mar 17, 2020","12,685.21","12,525.27","13,114.53","12,322.67","618.75M","2.63%"
"Mar 16, 2020","12,360.40","12,648.73","12,851.68","11,883.66","525.67M","-9.89%"
"Mar 13, 2020","13,716.33","13,161.61","13,716.33","12,608.31","669.33M","9.66%"
"Mar 12, 2020","12,508.45","13,611.82","13,611.82","12,451.12","678.33M","-12.34%"
"Mar 11, 2020","14,270.09","14,639.69","14,714.23","14,185.23","468.98M","-4.60%"
"Mar 10, 2020","14,958.09","15,019.04","15,048.84","14,481.91","571.00M","3.06%"
"Mar 09, 2020","14,514.24","15,221.82","15,240.30","14,498.32","559.23M","-10.27%"
"Mar 06, 2020","16,175.02","16,222.14","16,261.52","16,015.81","374.70M","-2.29%"
"Mar 05, 2020","16,553.99","16,541.64","16,684.93","16,456.74","312.98M","-1.34%"
"Mar 04, 2020","16,779.53","16,659.92","16,779.53","16,539.39","273.72M","2.17%"
"Mar 03, 2020","16,423.62","16,674.86","16,798.22","16,378.31","393.13M","-0.78%"
"Mar 02, 2020","16,553.26","16,324.99","16,566.68","16,166.26","374.72M","1.78%"
"Feb 28, 2020","16,263.05","16,184.37","16,276.90","15,896.35","590.22M","-3.01%"
"Feb 27, 2020","16,767.72","16,803.41","16,816.18","16,456.80","232.69M","-1.61%"
"Feb 26, 2020","17,041.92","17,140.87","17,304.57","17,029.94","303.63M","-0.79%"
"Feb 25, 2020","17,177.37","17,560.48","17,586.80","17,124.86","303.25M","-2.19%"
"Feb 24, 2020","17,562.74","17,608.92","17,608.92","17,463.11","310.12M","-1.57%"
"Feb 21, 2020","17,843.53","17,936.50","17,949.82","17,833.11","271.26M","-0.56%"
"Feb 20, 2020","17,944.06","17,911.59","17,970.51","17,860.61","248.80M","0.10%"
"Feb 19, 2020","17,925.36","17,887.61","17,933.21","17,851.27","215.95M","0.38%"
"Feb 18, 2020","17,858.34","17,818.92","17,871.34","17,812.48","294.36M","0.06%"
"Feb 14, 2020","17,848.36","17,811.28","17,848.54","17,798.64","222.71M","0.15%"
"Feb 13, 2020","17,821.17","17,764.13","17,829.18","17,750.78","255.70M","-0.07%"
"Feb 12, 2020","17,832.85","17,873.13","17,873.13","17,811.98","246.20M","0.31%"
"Feb 11, 2020","17,777.11","17,783.61","17,822.15","17,769.27","199.18M","0.21%"
"Feb 10, 2020","17,740.57","17,646.62","17,743.60","17,646.62","210.74M","0.48%"
"Feb 07, 2020","17,655.49","17,705.40","17,716.69","17,632.99","209.83M","-0.57%"
"Feb 06, 2020","17,757.49","17,686.13","17,758.49","17,670.62","199.31M","0.60%"
"Feb 05, 2020","17,651.59","17,629.39","17,674.04","17,606.07","223.40M","0.79%"
"Feb 04, 2020","17,512.73","17,504.61","17,548.80","17,493.82","235.04M","0.77%"
"Feb 03, 2020","17,379.76","17,351.01","17,441.57","17,351.01","196.33M","0.35%"
"Jan 31, 2020","17,318.49","17,442.25","17,450.72","17,272.73","239.16M","-0.98%"
"Jan 30, 2020","17,490.56","17,429.58","17,502.91","17,395.85","191.07M","-0.12%"
"Jan 29, 2020","17,511.75","17,547.48","17,561.87","17,496.73","169.41M","0.06%"
"Jan 28, 2020","17,500.88","17,474.95","17,518.95","17,456.06","198.14M","0.33%"
"Jan 27, 2020","17,442.52","17,376.78","17,466.12","17,360.04","203.77M","-0.70%"
"Jan 24, 2020","17,565.34","17,629.40","17,646.35","17,514.66","193.69M","-0.32%"
"Jan 23, 2020","17,621.78","17,564.77","17,621.78","17,540.77","330.91M","0.12%"
"Jan 22, 2020","17,599.86","17,570.29","17,666.45","17,557.98","213.33M","0.16%"
"Jan 21, 2020","17,572.28","17,551.53","17,589.52","17,536.31","241.56M","-0.14%"
"Jan 20, 2020","17,597.39","17,548.09","17,620.19","17,538.37","111.82M","0.22%"
"Jan 17, 2020","17,559.02","17,507.70","17,572.15","17,502.44","224.67M","0.42%"
"Jan 16, 2020","17,484.77","17,443.54","17,489.56","17,438.49","261.42M","0.40%"
"Jan 15, 2020","17,415.17","17,364.81","17,421.67","17,345.09","207.64M","0.36%"
"Jan 14, 2020","17,352.90","17,288.61","17,356.47","17,281.26","235.50M","0.34%"
"Jan 13, 2020","17,293.42","17,237.62","17,301.76","17,198.88","268.09M","0.34%"
"Jan 10, 2020","17,234.49","17,223.24","17,254.06","17,187.22","192.51M","-0.01%"
"Jan 09, 2020","17,235.57","17,205.93","17,255.51","17,201.33","222.50M","0.39%"
"Jan 08, 2020","17,167.82","17,172.69","17,229.88","17,164.62","246.98M","-0.00%"
"Jan 07, 2020","17,168.06","17,119.58","17,178.04","17,110.27","171.92M","0.37%"
"Jan 06, 2020","17,105.47","17,042.25","17,105.47","17,041.16","195.35M","0.23%"
"Jan 03, 2020","17,066.12","17,054.84","17,105.66","17,033.21","185.49M","-0.20%"
"Jan 02, 2020","17,099.95","17,131.63","17,164.55","17,043.47","156.21M","0.21%"
